Genres,Grade,year_1999,year_war_grade,Year
children,1,5.0,5.0,1999
fantasy,3,1.0,3.0,1999
magical,3,5.0,15.0,1999
mystery,4,5.0,20.0,1999
action,7,16.0,112.0,1999
crime,8,14.0,112.0,1999
drama,7,64.0,448.0,1999
SF,5,5.0,25.0,1999
adventure,4,5.0,20.0,1999
biography,5,1.0,5.0,1999
comedy,4,74.0,296.0,1999
thriller,4,15.0,60.0,1999
musical,4,2.0,8.0,1999
western,8,5.0,40.0,1999
romance,2,3.0,6.0,1999
war,10,2.0,20.0,1999
horror,4,19.0,76.0,1999
sport,3,5.0,15.0,1999
political,6,5.0,30.0,1999
saga,3,5.0,15.0,1999
satire,2,5.0,10.0,1999
social,4,5.0,20.0,1999
animation,2,7.0,14.0,1999
children,1,5.0,5.0,2000
fantasy,3,3.0,9.0,2000
magical,3,5.0,15.0,2000
mystery,4,5.0,20.0,2000
action,7,14.0,98.0,2000
crime,8,14.0,112.0,2000
drama,7,59.0,413.0,2000
SF,5,5.0,25.0,2000
adventure,4,4.0,16.0,2000
biography,5,8.0,40.0,2000
comedy,4,69.0,276.0,2000
thriller,4,13.0,52.0,2000
musical,4,3.0,12.0,2000
western,8,1.0,8.0,2000
romance,2,5.0,10.0,2000
war,10,3.0,30.0,2000
horror,4,8.0,32.0,2000
sport,3,5.0,15.0,2000
political,6,5.0,30.0,2000
saga,3,5.0,15.0,2000
satire,2,5.0,10.0,2000
social,4,5.0,20.0,2000
animation,2,8.0,16.0,2000
children,1,5.0,5.0,2001
fantasy,3,8.0,24.0,2001
magical,3,5.0,15.0,2001
mystery,4,1.0,4.0,2001
action,7,8.0,56.0,2001
crime,8,19.0,152.0,2001
drama,7,61.0,427.0,2001
SF,5,5.0,25.0,2001
adventure,4,4.0,16.0,2001
biography,5,4.0,20.0,2001
comedy,4,79.0,316.0,2001
thriller,4,15.0,60.0,2001
musical,4,6.0,24.0,2001
western,8,1.0,8.0,2001
romance,2,6.0,12.0,2001
war,10,7.0,70.0,2001
horror,4,10.0,40.0,2001
sport,3,1.0,3.0,2001
political,6,5.0,30.0,2001
saga,3,5.0,15.0,2001
satire,2,5.0,10.0,2001
social,4,5.0,20.0,2001
animation,2,6.0,12.0,2001
children,1,5.0,5.0,2002
fantasy,3,2.0,6.0,2002
magical,3,5.0,15.0,2002
mystery,4,1.0,4.0,2002
action,7,17.0,119.0,2002
crime,8,22.0,176.0,2002
drama,7,65.0,455.0,2002
SF,5,5.0,25.0,2002
adventure,4,5.0,20.0,2002
biography,5,6.0,30.0,2002
comedy,4,68.0,272.0,2002
thriller,4,16.0,64.0,2002
musical,4,4.0,16.0,2002
western,8,5.0,40.0,2002
romance,2,10.0,20.0,2002
war,10,5.0,50.0,2002
horror,4,17.0,68.0,2002
sport,3,5.0,15.0,2002
political,6,5.0,30.0,2002
saga,3,5.0,15.0,2002
satire,2,5.0,10.0,2002
social,4,5.0,20.0,2002
animation,2,10.0,20.0,2002
children,1,5.0,5.0,2003
fantasy,3,8.0,24.0,2003
magical,3,5.0,15.0,2003
mystery,4,5.0,20.0,2003
action,7,30.0,210.0,2003
crime,8,31.0,248.0,2003
drama,7,52.0,364.0,2003
SF,5,5.0,25.0,2003
adventure,4,2.0,8.0,2003
biography,5,6.0,30.0,2003
comedy,4,66.0,264.0,2003
thriller,4,6.0,24.0,2003
musical,4,7.0,28.0,2003
western,8,3.0,24.0,2003
romance,2,11.0,22.0,2003
war,10,6.0,60.0,2003
horror,4,18.0,72.0,2003
sport,3,5.0,15.0,2003
political,6,5.0,30.0,2003
saga,3,5.0,15.0,2003
satire,2,5.0,10.0,2003
social,4,5.0,20.0,2003
animation,2,7.0,14.0,2003
