Genres,Genre_count,year
fantasy,1,1950
action,96,1950
crime,61,1950
drama,98,1950
Sci-Fi,0,1950
adventure,81,1950
comedy,52,1950
thriller,5,1950
musical,12,1950
western,61,1950
romance,28,1950
war,5,1950
horror,0,1950
sport,9,1950
history,5,1950
family,2,1950
fantasy,4,1951
action,51,1951
crime,45,1951
drama,105,1951
Sci-Fi,4,1951
adventure,52,1951
comedy,60,1951
thriller,9,1951
musical,14,1951
western,66,1951
romance,46,1951
war,11,1951
horror,3,1951
sport,10,1951
history,4,1951
family,1,1951
fantasy,6,1952
action,60,1952
crime,24,1952
drama,95,1952
Sci-Fi,4,1952
adventure,65,1952
comedy,66,1952
thriller,7,1952
musical,17,1952
western,69,1952
romance,36,1952
war,13,1952
horror,1,1952
sport,7,1952
history,10,1952
family,1,1952
fantasy,2,1953
action,47,1953
crime,40,1953
drama,103,1953
Sci-Fi,7,1953
adventure,66,1953
comedy,50,1953
thriller,6,1953
musical,23,1953
western,59,1953
romance,43,1953
war,19,1953
horror,3,1953
sport,6,1953
history,6,1953
family,7,1953
fantasy,11,1954
action,45,1954
crime,43,1954
drama,120,1954
Sci-Fi,13,1954
adventure,62,1954
comedy,35,1954
thriller,7,1954
musical,14,1954
western,52,1954
romance,48,1954
war,12,1954
horror,7,1954
sport,3,1954
history,15,1954
family,6,1954
fantasy,8,1955
action,30,1955
crime,65,1955
drama,133,1955
Sci-Fi,7,1955
adventure,51,1955
comedy,35,1955
thriller,4,1955
musical,18,1955
western,49,1955
romance,46,1955
war,15,1955
horror,7,1955
sport,2,1955
history,17,1955
family,4,1955
fantasy,7,1956
action,31,1956
crime,54,1956
drama,144,1956
Sci-Fi,7,1956
adventure,42,1956
comedy,44,1956
thriller,4,1956
musical,13,1956
western,51,1956
romance,46,1956
war,14,1956
horror,8,1956
sport,3,1956
history,8,1956
family,3,1956
fantasy,8,1957
action,31,1957
crime,70,1957
drama,148,1957
Sci-Fi,10,1957
adventure,33,1957
comedy,30,1957
thriller,14,1957
musical,13,1957
western,47,1957
romance,29,1957
war,13,1957
horror,14,1957
sport,2,1957
history,7,1957
family,6,1957
fantasy,3,1958
action,25,1958
crime,50,1958
drama,150,1958
Sci-Fi,13,1958
adventure,32,1958
comedy,35,1958
thriller,14,1958
musical,10,1958
western,47,1958
romance,57,1958
war,31,1958
horror,17,1958
sport,0,1958
history,3,1958
family,7,1958
fantasy,6,1959
action,19,1959
crime,35,1959
drama,114,1959
Sci-Fi,11,1959
adventure,28,1959
comedy,31,1959
thriller,17,1959
musical,8,1959
western,28,1959
romance,40,1959
war,16,1959
horror,14,1959
sport,0,1959
history,10,1959
family,12,1959
fantasy,7,1960
action,22,1960
crime,31,1960
drama,106,1960
Sci-Fi,4,1960
adventure,25,1960
comedy,35,1960
thriller,6,1960
musical,8,1960
western,21,1960
romance,29,1960
war,12,1960
horror,5,1960
sport,1,1960
history,9,1960
family,15,1960
fantasy,8,1961
action,8,1961
crime,28,1961
drama,107,1961
Sci-Fi,7,1961
adventure,26,1961
comedy,43,1961
thriller,13,1961
musical,9,1961
western,16,1961
romance,28,1961
war,13,1961
horror,6,1961
sport,1,1961
history,9,1961
family,13,1961
fantasy,7,1962
action,15,1962
crime,15,1962
drama,108,1962
Sci-Fi,6,1962
adventure,32,1962
comedy,44,1962
thriller,9,1962
musical,8,1962
western,14,1962
romance,21,1962
war,13,1962
horror,11,1962
sport,2,1962
history,12,1962
family,11,1962
fantasy,2,1963
action,13,1963
crime,12,1963
drama,82,1963
Sci-Fi,3,1963
adventure,19,1963
comedy,66,1963
thriller,11,1963
musical,8,1963
western,10,1963
romance,31,1963
war,12,1963
horror,17,1963
sport,0,1963
history,6,1963
family,14,1963
fantasy,6,1964
action,8,1964
crime,18,1964
drama,93,1964
Sci-Fi,7,1964
adventure,14,1964
comedy,65,1964
thriller,15,1964
musical,11,1964
western,20,1964
romance,22,1964
war,19,1964
horror,15,1964
sport,2,1964
history,5,1964
family,11,1964
fantasy,4,1965
action,11,1965
crime,17,1965
drama,99,1965
Sci-Fi,8,1965
adventure,25,1965
comedy,57,1965
thriller,18,1965
musical,9,1965
western,22,1965
romance,23,1965
war,14,1965
horror,10,1965
sport,2,1965
history,6,1965
family,16,1965
fantasy,4,1966
action,25,1966
crime,20,1966
drama,93,1966
Sci-Fi,10,1966
adventure,30,1966
comedy,58,1966
thriller,18,1966
musical,9,1966
western,23,1966
romance,22,1966
war,9,1966
horror,11,1966
sport,1,1966
history,3,1966
family,16,1966
fantasy,6,1967
action,24,1967
crime,27,1967
drama,94,1967
Sci-Fi,8,1967
adventure,24,1967
comedy,64,1967
thriller,22,1967
musical,7,1967
western,25,1967
romance,25,1967
war,8,1967
horror,7,1967
sport,0,1967
history,2,1967
family,12,1967
fantasy,8,1968
action,32,1968
crime,42,1968
drama,131,1968
Sci-Fi,8,1968
adventure,26,1968
comedy,64,1968
thriller,24,1968
musical,4,1968
western,17,1968
romance,27,1968
war,15,1968
horror,10,1968
sport,2,1968
history,4,1968
family,12,1968
fantasy,5,1969
action,26,1969
crime,24,1969
drama,145,1969
Sci-Fi,8,1969
adventure,25,1969
comedy,61,1969
thriller,14,1969
musical,4,1969
western,19,1969
romance,32,1969
war,10,1969
horror,6,1969
sport,4,1969
history,2,1969
family,9,1969
fantasy,15,1970
action,31,1970
crime,22,1970
drama,155,1970
Sci-Fi,6,1970
adventure,20,1970
comedy,66,1970
thriller,13,1970
musical,3,1970
western,21,1970
romance,32,1970
war,14,1970
horror,15,1970
sport,2,1970
history,5,1970
family,7,1970
fantasy,4,1971
action,34,1971
crime,39,1971
drama,136,1971
Sci-Fi,9,1971
adventure,16,1971
comedy,59,1971
thriller,19,1971
musical,5,1971
western,22,1971
romance,18,1971
war,5,1971
horror,12,1971
sport,2,1971
history,5,1971
family,9,1971
fantasy,6,1972
action,40,1972
crime,47,1972
drama,130,1972
Sci-Fi,8,1972
adventure,15,1972
comedy,58,1972
thriller,29,1972
musical,5,1972
western,27,1972
romance,13,1972
war,1,1972
horror,28,1972
sport,3,1972
history,2,1972
family,11,1972
fantasy,8,1973
action,49,1973
crime,65,1973
drama,145,1973
Sci-Fi,11,1973
