Genres,Genre_count,Year
thriller,2,1980
horror,2,1980
adventure,27,1980
drama,87,1980
comedy,108,1980
action,18,1980
crime,7,1980
mystery,3,1980
sport,3,1980
romance,16,1980
war,9,1980
fantasy,4,1980
musical,2,1980
biography,6,1980
animation,3,1980
musical,6,1981
comedy,120,1981
action,18,1981
adventure,22,1981
drama,82,1981
crime,24,1981
mystery,20,1981
biography,6,1981
fantasy,3,1981
war,7,1981
romance,7,1981
horror,4,1981
animation,3,1981
comedy,123,1982
adventure,16,1982
drama,63,1982
sport,2,1982
action,8,1982
crime,17,1982
biography,2,1982
western,3,1982
fantasy,3,1982
animation,11,1982
musical,4,1982
war,7,1982
romance,7,1982
mystery,10,1982
thriller,2,1982
horror,2,1982
comedy,113,1983
western,2,1983
drama,61,1983
musical,5,1983
war,7,1983
biography,2,1983
horror,3,1983
romance,22,1983
action,23,1983
adventure,15,1983
crime,12,1983
sport,2,1983
fantasy,5,1983
mystery,8,1983
animation,9,1983
comedy,110,1984
musical,3,1984
drama,70,1984
romance,19,1984
thriller,1,1984
fantasy,17,1984
sport,5,1984
action,30,1984
animation,10,1984
crime,12,1984
mystery,4,1984
adventure,14,1984
biography,3,1984
war,1,1984
western,1,1984
horror,1,1984
comedy,84,1985
thriller,2,1985
sport,4,1985
action,23,1985
crime,21,1985
drama,73,1985
fantasy,26,1985
animation,13,1985
biography,1,1985
romance,9,1985
mystery,9,1985
western,2,1985
adventure,13,1985
horror,1,1985
musical,1,1985
comedy,96,1986
musical,3,1986
drama,71,1986
romance,8,1986
fantasy,20,1986
sport,6,1986
action,23,1986
crime,29,1986
biography,5,1986
mystery,12,1986
horror,3,1986
adventure,14,1986
animation,7,1986
drama,79,1987
comedy,87,1987
musical,3,1987
sport,2,1987
crime,26,1987
animation,14,1987
fantasy,21,1987
romance,11,1987
action,33,1987
adventure,23,1987
mystery,15,1987
biography,3,1987
horror,1,1987
thriller,1,1987
war,10,1987
comedy,92,1988
drama,90,1988
fantasy,27,1988
crime,38,1988
biography,5,1988
animation,6,1988
romance,11,1988
horror,4,1988
action,33,1988
sport,5,1988
adventure,10,1988
mystery,18,1988
war,13,1988
biography,3,1989
comedy,97,1989
drama,104,1989
romance,8,1989
action,29,1989
adventure,16,1989
mystery,21,1989
crime,44,1989
musical,1,1989
fantasy,31,1989
animation,5,1989
thriller,1,1989
war,16,1989
western,1,1989
sport,3,1989
horror,1,1989
comedy,91,1990
drama,91,1990
thriller,1,1990
crime,31,1990
mystery,35,1990
action,24,1990
adventure,31,1990
sport,8,1990
fantasy,28,1990
romance,12,1990
musical,7,1990
war,10,1990
animation,12,1990
biography,1,1990
horror,2,1990
western,1,1990
comedy,113,1991
musical,2,1991
drama,63,1991
crime,17,1991
mystery,14,1991
adventure,20,1991
fantasy,21,1991
animation,12,1991
biography,4,1991
sport,6,1991
romance,21,1991
action,8,1991
horror,4,1991
war,1,1991
thriller,1,1991
sport,6,1992
comedy,89,1992
biography,5,1992
action,34,1992
crime,19,1992
drama,46,1992
animation,29,1992
adventure,36,1992
romance,13,1992
thriller,1,1992
fantasy,11,1992
mystery,9,1992
musical,2,1992
western,1,1992
comedy,109,1993
drama,57,1993
crime,13,1993
mystery,16,1993
biography,3,1993
adventure,32,1993
animation,35,1993
action,31,1993
fantasy,9,1993
horror,3,1993
sport,5,1993
romance,12,1993
war,1,1993
musical,1,1993
sport,3,1994
action,31,1994
comedy,91,1994
drama,56,1994
animation,31,1994
biography,5,1994
crime,17,1994
mystery,15,1994
adventure,34,1994
fantasy,8,1994
romance,24,1994
musical,1,1994
horror,3,1994
crime,39,1995
action,42,1995
drama,66,1995
romance,29,1995
mystery,31,1995
adventure,43,1995
comedy,84,1995
animation,37,1995
biography,3,1995
sport,5,1995
fantasy,6,1995
western,7,1995
horror,2,1995
war,2,1995
biography,3,1996
drama,77,1996
romance,42,1996
mystery,37,1996
comedy,79,1996
action,24,1996
adventure,33,1996
crime,19,1996
animation,28,1996
sport,7,1996
musical,1,1996
fantasy,7,1996
horror,2,1996
thriller,1,1996
