name,genre,year
Mondo Sexxxx: The Terry Kobrah Story,"<span class=""genre"">
Comedy, Drama, Horror            </span>",1980
09,"<span class=""genre"">
Drama            </span>",1980
Sin pecado,"<span class=""genre"">
Drama, Fantasy, Mystery            </span>",1980
Paper Ketchup,"<span class=""genre"">
Comedy, Musical, Romance            </span>",1980
You Used to Be Beautiful,"<span class=""genre"">
Comedy, Drama, Romance            </span>",1980
116 Muscles,"<span class=""genre"">
Drama            </span>",1980
The Wake of Dick Johnson,"<span class=""genre"">
Drama            </span>",1980
Bob Mazooka: Fun Time Action Hour for Kids,"<span class=""genre"">
Comedy            </span>",1980
Life in Parallel,"<span class=""genre"">
Comedy, Drama            </span>",1980
Wormtooth Nation,"<span class=""genre"">
Sci-Fi            </span>",1980
The Pass Rusher,"<span class=""genre"">
Drama, Romance, Sport            </span>",1980
Running on Empty,"<span class=""genre"">
Action, Thriller            </span>",1980
Front Man,"<span class=""genre"">
Drama            </span>",1980
My America,"<span class=""genre"">
Drama            </span>",1980
Fillbilly,"<span class=""genre"">
Comedy            </span>",1980
Only Human,"<span class=""genre"">
Drama, Horror, Romance            </span>",1980
Bongoland II: There Is No Place Like Home,"<span class=""genre"">
Drama            </span>",1980
Jouir De La Vie,"<span class=""genre"">
Drama, Romance            </span>",1980
As Though Dead,"<span class=""genre"">
Horror            </span>",1980
Kaptin Boom,"<span class=""genre"">
Comedy            </span>",1980
Bubble Bubble Meows and the Meteor Stomachache,"<span class=""genre"">
Animation            </span>",1980
The Two Roomer,"<span class=""genre"">
Thriller            </span>",1980
Halloween Creep Tales,"<span class=""genre"">
Horror            </span>",1980
Road to Kingsville,"<span class=""genre"">
Drama, Thriller            </span>",1980
The Bestest Christmas Ever,"<span class=""genre"">
Comedy            </span>",1980
Arrgh! A Pirate Story,"<span class=""genre"">
Comedy, Music            </span>",1980
Just Another Noir,"<span class=""genre"">
Crime            </span>",1980
Reflections on the USS Arizona Memorial,None,1980
"Cheer Up, Sam","<span class=""genre"">
Drama            </span>",1980
Couch Cases,"<span class=""genre"">
Comedy            </span>",1980
We Grew Up Here,"<span class=""genre"">
Drama, Music            </span>",1980
Good Bye,"<span class=""genre"">
Thriller            </span>",1980
Big Top Winkle,"<span class=""genre"">
Adventure            </span>",1980
Rat Rod Rockers!,"<span class=""genre"">
Crime            </span>",1980
Euthination,"<span class=""genre"">
Horror            </span>",1980
Chickens in the Shadows,"<span class=""genre"">
Comedy, Music            </span>",1980
Drunk Dumb Fucks,"<span class=""genre"">
Comedy            </span>",1980
Retribution of the Wolf,"<span class=""genre"">
Western            </span>",1980
The Rockford Blondes,"<span class=""genre"">
Biography, Comedy            </span>",1980
The Last Hot Lick,"<span class=""genre"">
Drama, Music            </span>",1980
The Parchene Conspiracy,"<span class=""genre"">
Sci-Fi            </span>",1980
Only Interstellar Pinball Lives Forever,"<span class=""genre"">
Comedy, Drama, Fantasy            </span>",1980
Fictionality,"<span class=""genre"">
Action            </span>",1980
Senior Prom,"<span class=""genre"">
Comedy            </span>",1980
Pwners,"<span class=""genre"">
Comedy, Drama            </span>",1980
A Carol of Christmas,"<span class=""genre"">
Comedy            </span>",1980
Jerome's Razor,"<span class=""genre"">
Adventure, Drama            </span>",1980
The Chemical King,"<span class=""genre"">
Comedy, Fantasy            </span>",1980
Rifftrax: Order in the Shorts,"<span class=""genre"">
Comedy            </span>",1980
"My Necklace, Myself","<span class=""genre"">
Fantasy            </span>",1980
To Fly,"<span class=""genre"">
Drama            </span>",1980
Thirty Second Doom,"<span class=""genre"">
Action, Adventure, Crime            </span>",1980
Up North,"<span class=""genre"">
Comedy, Horror            </span>",1980
Legends of Mini-Golf: The Flamingo's Challenge,"<span class=""genre"">
Comedy            </span>",1980
The Happy Widowers,"<span class=""genre"">
Comedy            </span>",1980
Ku Klux Kornea,"<span class=""genre"">
Comedy            </span>",1980
Hope for a Thorn,"<span class=""genre"">
Drama            </span>",1980
Dreams of the Wayward,"<span class=""genre"">
Drama            </span>",1980
Grappling with your Demons,"<span class=""genre"">
Drama            </span>",1980
Incident at Barstow,"<span class=""genre"">
Thriller            </span>",1980
The Mayor & King Switch Places,"<span class=""genre"">
Comedy, Crime, Drama            </span>",1980
All Suspects,"<span class=""genre"">
Action, Crime, Drama            </span>",1980
Icrush the Movie,"<span class=""genre"">
Comedy            </span>",1980
Max Romer: Appalachian Justice,"<span class=""genre"">
Action, Comedy            </span>",1980
Abram's Hand,"<span class=""genre"">
Crime, Horror, Thriller            </span>",1980
Wright Street,"<span class=""genre"">
Drama, Mystery            </span>",1980
Outfitumentary,None,1980
Exit 117,"<span class=""genre"">
Drama            </span>",1980
Bee Dead,"<span class=""genre"">
Comedy, Horror            </span>",1980
Fools,"<span class=""genre"">
Action, Comedy, Horror            </span>",1980
"Finally, Lillian and Dan",None,1980
The Doorway,"<span class=""genre"">
Horror            </span>",1980
The Sister,"<span class=""genre"">
Horror            </span>",1980
Spirit Gum,"<span class=""genre"">
Animation, Comedy, Fantasy            </span>",1980
The Temple II: Birth into Darkness,"<span class=""genre"">
Action, Fantasy, Horror            </span>",1980
Suburban Backlot,"<span class=""genre"">
Comedy            </span>",1980
The Price of Loyalty,"<span class=""genre"">
Action            </span>",1980
A Boys Night Out,"<span class=""genre"">
Drama            </span>",1980
Finding St. Isabel,"<span class=""genre"">
Drama            </span>",1980
The Light,"<span class=""genre"">
Comedy, Horror, Sci-Fi            </span>",1980
Social Distortion: Live in Orange County,"<span class=""genre"">
Music            </span>",1980
Gans-Nelson Fight,"<span class=""genre"">
Sport            </span>",1980
Gary Has No Pants,"<span class=""genre"">
Comedy            </span>",1980
I Hate L.A.,"<span class=""genre"">
Comedy, Horror, Mystery            </span>",1980
The Golden Space City of God,"<span class=""genre"">
Musical            </span>",1980
In 200 Characters or Less,"<span class=""genre"">
Comedy, Romance            </span>",1980
Consequence,"<span class=""genre"">
Drama            </span>",1980
Lightning Salad Moving Picture,"<span class=""genre"">
Comedy            </span>",1980
The Season,"<span class=""genre"">
Drama            </span>",1980
When the Boys Walk In,"<span class=""genre"">
Drama            </span>",1980
Your Roommate,"<span class=""genre"">
Comedy, Romance            </span>",1980
Bubble Bubble Meows and the Lame-O Baby Jib,"<span class=""genre"">
Animation, Comedy, Family            </span>",1980
The Sound of Victory,"<span class=""genre"">
Drama            </span>",1980
Gav-n,"<span class=""genre"">
Action            </span>",1980
The Abstract Heart,"<span class=""genre"">
Drama, Horror, Romance            </span>",1980
Here. My Explosion...,"<span class=""genre"">
Drama            </span>",1980
Bhoner: The Movie,"<span class=""genre"">
Comedy, Horror            </span>",1980
Randomocity,"<span class=""genre"">
Comedy, Drama            </span>",1980
The Downfall of Mr. Difford,"<span class=""genre"">
Thriller            </span>",1980
Don't Mess with the IRS,"<span class=""genre"">
Action, Comedy            </span>",1980
Bored,"<span class=""genre"">
Comedy            </span>",1980
The Pine Overcoat,"<span class=""genre"">
Drama, Thriller            </span>",1980
Writer's Block,"<span class=""genre"">
Thriller            </span>",1980
Monster of Party Beach,"<span class=""genre"">
Comedy            </span>",1980
The Hardest Love,"<span class=""genre"">
Drama            </span>",1980
Your Second Chance,"<span class=""genre"">
Thriller            </span>",1980
Queenie: Priestess of the Ghetto,"<span class=""genre"">
Action, Comedy, Drama            </span>",1980
Somewhere We Lived,"<span class=""genre"">
Comedy, Drama            </span>",1980
Finding Home,"<span class=""genre"">
Drama            </span>",1980
Heart Beats,"<span class=""genre"">
Romance            </span>",1980
Off-Loop,"<span class=""genre"">
Comedy, Drama            </span>",1980
Forgotten in Still Frame,"<span class=""genre"">
Action, Drama, Thriller            </span>",1980
Novelties,"<span class=""genre"">
Drama            </span>",1980
Freaks Nerds & Romantics,"<span class=""genre"">
Comedy, Drama, Music            </span>",1980
Melvyn's Clock,"<span class=""genre"">
Drama            </span>",1980
Nocturnal After Hours,"<span class=""genre"">
Action, Comedy, Drama            </span>",1980
Four Tanks and a Healer,"<span class=""genre"">
Animation            </span>",1980
Ring of Honor: Greatest Rivalries,"<span class=""genre"">
Action            </span>",1980
Wolfy's Journey,"<span class=""genre"">
Animation, Adventure, Fantasy            </span>",1980
Cleaners,"<span class=""genre"">
Drama            </span>",1980
Spidertron,"<span class=""genre"">
Action, Comedy, Sci-Fi            </span>",1980
"Witness to History: The Sights & Sounds of December 7th, 1941",None,1980
The Way of Snow,"<span class=""genre"">
Drama, Fantasy            </span>",1980
Sour Apple Freeze Pop,"<span class=""genre"">
Comedy            </span>",1980
They Made That Up!,"<span class=""genre"">
Comedy            </span>",1980
The Lower Circle,"<span class=""genre"">
Fantasy, Horror, Sci-Fi            </span>",1980
Broken,"<span class=""genre"">
Comedy, Drama, Family            </span>",1980
Starcliff,"<span class=""genre"">
Action            </span>",1980
The Evangelist,"<span class=""genre"">
Comedy, Drama            </span>",1980
Fantastic Tales Of The Unknown: The Movie,"<span class=""genre"">
Horror            </span>",1980
"Stripped, Bear","<span class=""genre"">
Drama            </span>",1980
Sheryl Crow: Live,None,1980
Hallows Eve: Slaughter on Second Street,"<span class=""genre"">
Horror            </span>",1980
Nicky Newark,"<span class=""genre"">
Drama            </span>",1980
Behind the Red Motel Door,"<span class=""genre"">
Crime            </span>",1980
Luther's Magic Weed,"<span class=""genre"">
Comedy            </span>",1980
Gary from Accounting,"<span class=""genre"">
Comedy            </span>",1980
Young Citizen Patriots: Young Kid Ambassadors,"<span class=""genre"">
Family            </span>",1980
Below the Border,"<span class=""genre"">
Action, Adventure, Western            </span>",1980
Honorable Retribution,"<span class=""genre"">
Action, Drama            </span>",1980
Hamlin Pond,"<span class=""genre"">
Drama            </span>",1980
Found Footage Festival Volume 3: Live in San Francisco,"<span class=""genre"">
Comedy            </span>",1980
Dinner with the Dons,"<span class=""genre"">
Comedy            </span>",1980
Prank Calls: 50th Call Anniversary,"<span class=""genre"">
Comedy            </span>",1980
Hollywoodburgh Shorts!,"<span class=""genre"">
Comedy            </span>",1980
Working Stiffs,"<span class=""genre"">
Comedy, Horror            </span>",1980
Transfusion,"<span class=""genre"">
Drama, Thriller            </span>",1980
O.A.R.: Live from Madison Square Garden,"<span class=""genre"">
Music            </span>",1980
Not-So-Super Girl,"<span class=""genre"">
Action, Comedy, Mystery            </span>",1980
The Heartwood Dagger,"<span class=""genre"">
Drama            </span>",1980
The Dead Hate Their Late Fees,"<span class=""genre"">
Comedy, Horror            </span>",1980
White Tiger: The Story of Rick and Roddy,"<span class=""genre"">
Comedy            </span>",1980
Krissy Belle,"<span class=""genre"">
Comedy            </span>",1980
Rail Pennies,"<span class=""genre"">
Adventure, Drama            </span>",1980
John Gets Wasted,"<span class=""genre"">
Comedy            </span>",1980
Dimensions of Failure,"<span class=""genre"">
Comedy, Mystery, Sci-Fi            </span>",1980
Rose Colored Miles,"<span class=""genre"">
Comedy            </span>",1980
My Dinner with A.J.,"<span class=""genre"">
Comedy, Drama            </span>",1980
Lunatics Lovers & Actors,"<span class=""genre"">
Drama            </span>",1980
Just Tom,"<span class=""genre"">
Comedy, Drama            </span>",1980
"The Donut, the Balloon and the Lifesaver","<span class=""genre"">
Comedy, Family            </span>",1980
Staying Gold,"<span class=""genre"">
Drama            </span>",1980
Smitty: The Pied Piper,"<span class=""genre"">
Drama, Thriller            </span>",1980
A Variety of Mysteries,"<span class=""genre"">
Comedy, Drama, Mystery            </span>",1980
"PAPA the Man, the Myth, the Legend New Project","<span class=""genre"">
Biography, Drama, History            </span>",1980
Ben Fries the Slaves,"<span class=""genre"">
Comedy, Drama            </span>",1980
Right in the Cloaca!,"<span class=""genre"">
Comedy            </span>",1980
Belief,"<span class=""genre"">
Drama            </span>",1980
Mondo Sacramento,"<span class=""genre"">
Biography, Crime, History            </span>",1980
Shameless Reality,"<span class=""genre"">
Drama            </span>",1980
JJ Star... How Embarrassing,"<span class=""genre"">
Biography            </span>",1980
Cheering Up Dewie,"<span class=""genre"">
Comedy            </span>",1980
Devil Come to Hell and Stay Where You Belong,"<span class=""genre"">
Western            </span>",1980
Walking Shadows,"<span class=""genre"">
Drama, Horror, Thriller            </span>",1980
Street of the Dead,"<span class=""genre"">
Adventure, Comedy, Horror            </span>",1980
Second Sight,"<span class=""genre"">
Drama, Sci-Fi, Thriller            </span>",1980
The Diamonds of Metro Valley,"<span class=""genre"">
Action, Comedy, Sci-Fi            </span>",1980
Bridge,"<span class=""genre"">
Drama, Family            </span>",1980
A Nightmare to Remember: Volume 1,"<span class=""genre"">
Horror            </span>",1980
A Perfect Game,"<span class=""genre"">
Comedy            </span>",1980
She Unfolds by Day,"<span class=""genre"">
Drama            </span>",1980
Smashed Back,"<span class=""genre"">
Adventure, Thriller, Western            </span>",1980
A Catastrophe of Men,"<span class=""genre"">
Comedy            </span>",1980
Mako Adventures,"<span class=""genre"">
Action, Adventure, Family            </span>",1980
Flea Market Finish Line,"<span class=""genre"">
Drama            </span>",1980
La Sierva,"<span class=""genre"">
Drama, Thriller            </span>",1980
Evening's Civil Twilight in Empires of Tin,"<span class=""genre"">
Music            </span>",1980
The Dying,"<span class=""genre"">
Horror            </span>",1980
Eugene Walter: Last of the Bohemians,"<span class=""genre"">
Biography            </span>",1980
The Marshmallow Ghosts Present Corpse Reviver No. 2,"<span class=""genre"">
Horror            </span>",1980
A Giant Awakens,"<span class=""genre"">
Sport            </span>",1980
Pickled,"<span class=""genre"">
Mystery            </span>",1980
Truth,"<span class=""genre"">
Drama            </span>",1980
Tangled Web,"<span class=""genre"">
Drama            </span>",1980
A Day in the Lifeless,"<span class=""genre"">
Comedy, Drama            </span>",1980
The Pastry Tavern,"<span class=""genre"">
Animation            </span>",1980
Crimson Circle,"<span class=""genre"">
Drama, Thriller            </span>",1980
The Drachen Recruitment Experiment,"<span class=""genre"">
Horror            </span>",1980
Captain Slickpants,"<span class=""genre"">
Comedy            </span>",1980
Faith,"<span class=""genre"">
Comedy            </span>",1980
Lawson: White Heat,"<span class=""genre"">
Action, Comedy            </span>",1980
Natalie,"<span class=""genre"">
Drama            </span>",1980
"WWE: Summerslam - The Complete Anthology, Vol. 1","<span class=""genre"">
Action            </span>",1980
New York Decalogue,"<span class=""genre"">
Drama            </span>",1980
Southsyde,"<span class=""genre"">
Drama, Sport            </span>",1980
Writer's Block,"<span class=""genre"">
Drama, Romance            </span>",1980
On the Count of 3,"<span class=""genre"">
Action, Comedy, Crime            </span>",1980
Turning Point,"<span class=""genre"">
Drama            </span>",1980
Understanding Vander,"<span class=""genre"">
Comedy, Music            </span>",1980
As Cool as Jennifer: Volume 2,"<span class=""genre"">
Action, Adventure            </span>",1980
Til Death,"<span class=""genre"">
Comedy, Horror            </span>",1980
Run Hollywood Summer,"<span class=""genre"">
Comedy            </span>",1980
Men with Arms,"<span class=""genre"">
Drama, Family            </span>",1980
Quivering Norman,"<span class=""genre"">
Comedy, Music            </span>",1980
The Dangers of Dreaming,"<span class=""genre"">
Drama            </span>",1980
The Magic of Christmas II,"<span class=""genre"">
Family            </span>",1980
Grindcore: 85 Minutes of Brutal Heavy Metal,"<span class=""genre"">
Music            </span>",1980
"Hit Em Hard, the Story of Zaina Juliette","<span class=""genre"">
Biography, Music            </span>",1980
The Worst Thing,"<span class=""genre"">
Drama, Thriller            </span>",1980
The Forgotten Jewel,"<span class=""genre"">
Action            </span>",1980
Mad Cow: The Fall of the ZDA,"<span class=""genre"">
Action, Adventure, Crime            </span>",1980
"Attack of the Psychedelic Zombies, Man!","<span class=""genre"">
Comedy            </span>",1980
Promenade,None,1980
Kato Therapy,"<span class=""genre"">
Thriller            </span>",1980
Shattered Focus,"<span class=""genre"">
Drama, Romance            </span>",1980
Duality,"<span class=""genre"">
Comedy, Crime            </span>",1980
Elysium,"<span class=""genre"">
Drama            </span>",1980
God Is D_ad,"<span class=""genre"">
Drama            </span>",1980
Saberfrog,"<span class=""genre"">
Comedy, Drama, Sci-Fi            </span>",1980
Demonator 4,"<span class=""genre"">
Comedy            </span>",1980
The Gadarene Swine,"<span class=""genre"">
Drama            </span>",1980
Once a Child of God,None,1980
It's Whatever,"<span class=""genre"">
Comedy, Family, Romance            </span>",1980
The Quest of Aaron Adams,"<span class=""genre"">
Comedy            </span>",1980
Small Change,"<span class=""genre"">
Drama            </span>",1980
Snoopy Green's Vampire Movie,"<span class=""genre"">
Comedy            </span>",1980
Close to Midnight,"<span class=""genre"">
Drama            </span>",1980
Bloom,"<span class=""genre"">
Drama, Romance            </span>",1980
The Waiting,"<span class=""genre"">
Action, Crime, Drama            </span>",1980
Exhibit A-7,"<span class=""genre"">
Horror            </span>",1980
Human People,"<span class=""genre"">
Comedy            </span>",1980
"Me, Myself, and My Third Eye: 4 Enlightened Stories for 1 Imperfect God","<span class=""genre"">
Drama            </span>",1980
Game of the Year,"<span class=""genre"">
Comedy            </span>",1980
Baby Alligators,"<span class=""genre"">
Comedy            </span>",1980
Stalked,"<span class=""genre"">
Thriller            </span>",1980
Discouraging Words,"<span class=""genre"">
Comedy, Drama            </span>",1980
Anikruya,"<span class=""genre"">
Action, Adventure, Family            </span>",1980
The Last Dudes on Earth,"<span class=""genre"">
Comedy, Sci-Fi            </span>",1980
Sunset,"<span class=""genre"">
Drama            </span>",1980
Homer and Penelope,None,1980
Mondo Sexxxx: The Terry Kobrah Story,"<span class=""genre"">
Comedy, Drama, Horror            </span>",1981
09,"<span class=""genre"">
Drama            </span>",1981
Sin pecado,"<span class=""genre"">
Drama, Fantasy, Mystery            </span>",1981
Paper Ketchup,"<span class=""genre"">
Comedy, Musical, Romance            </span>",1981
You Used to Be Beautiful,"<span class=""genre"">
Comedy, Drama, Romance            </span>",1981
116 Muscles,"<span class=""genre"">
Drama            </span>",1981
The Wake of Dick Johnson,"<span class=""genre"">
Drama            </span>",1981
Bob Mazooka: Fun Time Action Hour for Kids,"<span class=""genre"">
Comedy            </span>",1981
Life in Parallel,"<span class=""genre"">
Comedy, Drama            </span>",1981
Wormtooth Nation,"<span class=""genre"">
Sci-Fi            </span>",1981
The Pass Rusher,"<span class=""genre"">
Drama, Romance, Sport            </span>",1981
Running on Empty,"<span class=""genre"">
Action, Thriller            </span>",1981
Front Man,"<span class=""genre"">
Drama            </span>",1981
My America,"<span class=""genre"">
Drama            </span>",1981
Fillbilly,"<span class=""genre"">
Comedy            </span>",1981
Only Human,"<span class=""genre"">
Drama, Horror, Romance            </span>",1981
Bongoland II: There Is No Place Like Home,"<span class=""genre"">
Drama            </span>",1981
Jouir De La Vie,"<span class=""genre"">
Drama, Romance            </span>",1981
As Though Dead,"<span class=""genre"">
Horror            </span>",1981
Kaptin Boom,"<span class=""genre"">
Comedy            </span>",1981
Bubble Bubble Meows and the Meteor Stomachache,"<span class=""genre"">
Animation            </span>",1981
The Two Roomer,"<span class=""genre"">
Thriller            </span>",1981
Halloween Creep Tales,"<span class=""genre"">
Horror            </span>",1981
Road to Kingsville,"<span class=""genre"">
Drama, Thriller            </span>",1981
The Bestest Christmas Ever,"<span class=""genre"">
Comedy            </span>",1981
Arrgh! A Pirate Story,"<span class=""genre"">
Comedy, Music            </span>",1981
Just Another Noir,"<span class=""genre"">
Crime            </span>",1981
Reflections on the USS Arizona Memorial,None,1981
"Cheer Up, Sam","<span class=""genre"">
Drama            </span>",1981
Couch Cases,"<span class=""genre"">
Comedy            </span>",1981
We Grew Up Here,"<span class=""genre"">
Drama, Music            </span>",1981
Good Bye,"<span class=""genre"">
Thriller            </span>",1981
Big Top Winkle,"<span class=""genre"">
Adventure            </span>",1981
Rat Rod Rockers!,"<span class=""genre"">
Crime            </span>",1981
Euthination,"<span class=""genre"">
Horror            </span>",1981
Chickens in the Shadows,"<span class=""genre"">
Comedy, Music            </span>",1981
Drunk Dumb Fucks,"<span class=""genre"">
Comedy            </span>",1981
Retribution of the Wolf,"<span class=""genre"">
Western            </span>",1981
The Rockford Blondes,"<span class=""genre"">
Biography, Comedy            </span>",1981
The Last Hot Lick,"<span class=""genre"">
Drama, Music            </span>",1981
The Parchene Conspiracy,"<span class=""genre"">
Sci-Fi            </span>",1981
Only Interstellar Pinball Lives Forever,"<span class=""genre"">
Comedy, Drama, Fantasy            </span>",1981
Fictionality,"<span class=""genre"">
Action            </span>",1981
Senior Prom,"<span class=""genre"">
Comedy            </span>",1981
Pwners,"<span class=""genre"">
Comedy, Drama            </span>",1981
A Carol of Christmas,"<span class=""genre"">
Comedy            </span>",1981
Jerome's Razor,"<span class=""genre"">
Adventure, Drama            </span>",1981
The Chemical King,"<span class=""genre"">
Comedy, Fantasy            </span>",1981
Rifftrax: Order in the Shorts,"<span class=""genre"">
Comedy            </span>",1981
"My Necklace, Myself","<span class=""genre"">
Fantasy            </span>",1981
To Fly,"<span class=""genre"">
Drama            </span>",1981
Thirty Second Doom,"<span class=""genre"">
Action, Adventure, Crime            </span>",1981
Up North,"<span class=""genre"">
Comedy, Horror            </span>",1981
Legends of Mini-Golf: The Flamingo's Challenge,"<span class=""genre"">
Comedy            </span>",1981
The Happy Widowers,"<span class=""genre"">
Comedy            </span>",1981
Ku Klux Kornea,"<span class=""genre"">
Comedy            </span>",1981
Hope for a Thorn,"<span class=""genre"">
Drama            </span>",1981
Dreams of the Wayward,"<span class=""genre"">
Drama            </span>",1981
Grappling with your Demons,"<span class=""genre"">
Drama            </span>",1981
Incident at Barstow,"<span class=""genre"">
Thriller            </span>",1981
The Mayor & King Switch Places,"<span class=""genre"">
Comedy, Crime, Drama            </span>",1981
All Suspects,"<span class=""genre"">
Action, Crime, Drama            </span>",1981
Icrush the Movie,"<span class=""genre"">
Comedy            </span>",1981
Max Romer: Appalachian Justice,"<span class=""genre"">
Action, Comedy            </span>",1981
Abram's Hand,"<span class=""genre"">
Crime, Horror, Thriller            </span>",1981
Wright Street,"<span class=""genre"">
Drama, Mystery            </span>",1981
Outfitumentary,None,1981
Exit 117,"<span class=""genre"">
Drama            </span>",1981
Bee Dead,"<span class=""genre"">
Comedy, Horror            </span>",1981
Fools,"<span class=""genre"">
Action, Comedy, Horror            </span>",1981
"Finally, Lillian and Dan",None,1981
The Doorway,"<span class=""genre"">
Horror            </span>",1981
The Sister,"<span class=""genre"">
Horror            </span>",1981
Spirit Gum,"<span class=""genre"">
Animation, Comedy, Fantasy            </span>",1981
The Temple II: Birth into Darkness,"<span class=""genre"">
Action, Fantasy, Horror            </span>",1981
Suburban Backlot,"<span class=""genre"">
Comedy            </span>",1981
The Price of Loyalty,"<span class=""genre"">
Action            </span>",1981
A Boys Night Out,"<span class=""genre"">
Drama            </span>",1981
Finding St. Isabel,"<span class=""genre"">
Drama            </span>",1981
The Light,"<span class=""genre"">
Comedy, Horror, Sci-Fi            </span>",1981
Social Distortion: Live in Orange County,"<span class=""genre"">
Music            </span>",1981
Gans-Nelson Fight,"<span class=""genre"">
Sport            </span>",1981
Gary Has No Pants,"<span class=""genre"">
Comedy            </span>",1981
