Titles,Year
"King Solomon's Mines
",1950
"All About Eve
",1950
"Cinderella
",1950
"Annie Get Your Gun
",1950
"Father of the Bride
",1950
"The Flame and the Arrow
",1950
"Kim
",1950
"Sunset Boulevard
",1950
"Cheaper by the Dozen
",1950
"Born Yesterday
",1950
"Quo Vadis
",1951
"David and Bathsheba
",1951
"Show Boat
",1951
"The Great Caruso
",1951
"A Streetcar Named Desire
",1951
"The African Queen
",1951
"That's My Boy
",1951
"An American in Paris
",1951
"A Place in the Sun
",1951
"Father's Little Dividend
",1951
"The Greatest Show on Earth
",1952
"This Is Cinerama
",1952
"The Snows of Kilimanjaro
",1952
"Hans Christian Andersen
",1952
"Ivanhoe
",1952
"Sailor Beware
",1952
"Moulin Rouge
",1952
"Jumping Jacks
",1952
"Son of PalefaceHigh Noon
",1952
"Singin' in the Rain
",1952
"The Robe
",1953
"From Here to Eternity
",1953
"Shane
",1953
"How to Marry a Millionaire
",1953
"Peter Pan
",1953
"House of Wax
",1953
"Mogambo
",1953
"Gentlemen Prefer Blondes
",1953
"Salome
",1953
"Knights of the Round Table
",1953
"White Christmas
",1954
"20,000 Leagues Under the Sea
",1954
"Rear Window
",1954
"Demetrius and the Gladiators
",1954
"The Caine Mutiny
",1954
"Vera Cruz
",1954
"Carmen Jones
",1954
"The High and the Mighty
",1954
"The Glenn Miller Story
",1954
"The Country Girl
",1954
"Cinerama Holiday
",1955
"Mister Roberts
",1955
"Battle Cry
",1955
"Oklahoma!
",1955
"Guys and Dolls
",1955
"Lady and the Tramp
",1955
"Picnic
",1955
"Not as a Stranger
",1955
"Strategic Air CommandThe Seven Year ItchThe Sea ChaseTo Hell and BackThe Tall Men
",1955
"I'll Cry Tomorrow
",1955
"The Ten Commandments
",1956
"Around the World in 80 Days
",1956
"Giant
",1956
"Seven Wonders of the World
",1956
"The King and I
",1956
"Trapeze
",1956
"War and Peace
",1956
"High Society
",1956
"The Teahouse of the August Moon
",1956
"The Eddy Duchin Story
",1956
"The Bridge on the River Kwai
",1957
"Sayonara
",1957
"Peyton Place
",1957
"Search for Paradise
",1957
"Old Yeller
",1957
