Genres,year,year_violence_grade
fantasy,1950,3
action,1950,637
crime,1950,567
drama,1950,380
Sci-Fi,1950,0
adventure,1950,539
comedy,1950,228
thriller,1950,28
musical,1950,64
western,1950,512
romance,1950,93
war,1950,50
horror,1950,0
sport,1950,36
history,1950,30
family,1950,6
fantasy,1951,6
action,1951,385
crime,1951,423
drama,1951,416
Sci-Fi,1951,24
adventure,1951,385
comedy,1951,248
thriller,1951,56
musical,1951,44
western,1951,528
romance,1951,132
war,1951,100
horror,1951,10
sport,1951,44
history,1951,24
family,1951,3
fantasy,1952,18
action,1952,441
crime,1952,189
drama,1952,372
Sci-Fi,1952,32
adventure,1952,469
comedy,1952,260
thriller,1952,49
musical,1952,72
western,1952,528
romance,1952,117
war,1952,130
horror,1952,10
sport,1952,28
history,1952,72
family,1952,3
fantasy,1953,6
action,1953,336
crime,1953,378
drama,1953,416
Sci-Fi,1953,56
adventure,1953,483
comedy,1953,208
thriller,1953,35
musical,1953,96
western,1953,448
romance,1953,126
war,1953,190
horror,1953,20
sport,1953,24
history,1953,36
family,1953,18
fantasy,1954,33
action,1954,315
crime,1954,387
drama,1954,476
Sci-Fi,1954,104
adventure,1954,427
comedy,1954,144
thriller,1954,49
musical,1954,64
western,1954,416
romance,1954,141
war,1954,120
horror,1954,70
sport,1954,12
history,1954,90
family,1954,15
fantasy,1955,24
action,1955,210
crime,1955,576
drama,1955,528
Sci-Fi,1955,64
adventure,1955,357
comedy,1955,144
thriller,1955,28
musical,1955,72
western,1955,392
romance,1955,132
war,1955,150
horror,1955,80
sport,1955,8
history,1955,102
family,1955,12
fantasy,1956,18
action,1956,203
crime,1956,486
drama,1956,572
Sci-Fi,1956,56
adventure,1956,294
comedy,1956,176
thriller,1956,28
musical,1956,52
western,1956,408
romance,1956,138
war,1956,130
horror,1956,90
sport,1956,12
history,1956,54
family,1956,9
fantasy,1957,27
action,1957,210
crime,1957,612
drama,1957,604
Sci-Fi,1957,80
adventure,1957,217
comedy,1957,116
thriller,1957,98
musical,1957,56
western,1957,376
romance,1957,87
war,1957,140
horror,1957,150
sport,1957,8
history,1957,36
family,1957,15
fantasy,1958,9
action,1958,182
crime,1958,450
drama,1958,596
Sci-Fi,1958,104
adventure,1958,231
comedy,1958,136
thriller,1958,98
musical,1958,40
western,1958,376
romance,1958,168
war,1958,310
horror,1958,170
sport,1958,0
history,1958,24
family,1958,21
fantasy,1959,18
action,1959,133
crime,1959,315
drama,1959,456
Sci-Fi,1959,88
adventure,1959,196
comedy,1959,124
thriller,1959,119
musical,1959,32
western,1959,224
romance,1959,120
war,1959,160
horror,1959,140
sport,1959,0
history,1959,60
family,1959,36
fantasy,1960,21
action,1960,154
crime,1960,279
drama,1960,424
Sci-Fi,1960,32
adventure,1960,175
comedy,1960,140
thriller,1960,42
musical,1960,32
western,1960,168
romance,1960,87
war,1960,120
horror,1960,50
sport,1960,4
history,1960,54
family,1960,45
fantasy,1961,24
action,1961,56
crime,1961,252
drama,1961,428
Sci-Fi,1961,56
adventure,1961,182
comedy,1961,172
thriller,1961,91
musical,1961,36
western,1961,128
romance,1961,84
war,1961,130
horror,1961,60
sport,1961,4
history,1961,54
family,1961,39
fantasy,1962,21
action,1962,105
crime,1962,135
drama,1962,432
Sci-Fi,1962,48
adventure,1962,224
comedy,1962,176
thriller,1962,63
musical,1962,32
western,1962,112
romance,1962,63
war,1962,130
horror,1962,110
sport,1962,8
history,1962,72
family,1962,33
fantasy,1963,6
action,1963,91
crime,1963,108
drama,1963,328
Sci-Fi,1963,24
adventure,1963,133
comedy,1963,264
thriller,1963,77
musical,1963,32
western,1963,80
romance,1963,93
war,1963,120
horror,1963,170
sport,1963,0
history,1963,36
family,1963,42
fantasy,1964,18
action,1964,56
crime,1964,162
drama,1964,372
Sci-Fi,1964,56
adventure,1964,98
comedy,1964,260
thriller,1964,105
musical,1964,44
western,1964,160
romance,1964,66
war,1964,190
horror,1964,150
sport,1964,8
history,1964,30
family,1964,33
fantasy,1965,12
action,1965,77
crime,1965,153
drama,1965,396
Sci-Fi,1965,64
adventure,1965,175
comedy,1965,228
thriller,1965,126
musical,1965,36
western,1965,176
romance,1965,69
war,1965,140
horror,1965,100
sport,1965,8
history,1965,36
family,1965,48
fantasy,1966,12
action,1966,175
crime,1966,180
drama,1966,372
Sci-Fi,1966,80
adventure,1966,210
comedy,1966,232
thriller,1966,126
musical,1966,36
western,1966,184
romance,1966,66
war,1966,90
horror,1966,110
sport,1966,4
history,1966,18
family,1966,48
fantasy,1967,18
action,1967,168
crime,1967,243
drama,1967,376
Sci-Fi,1967,64
adventure,1967,168
comedy,1967,256
thriller,1967,154
musical,1967,28
western,1967,200
romance,1967,75
war,1967,80
horror,1967,70
sport,1967,0
history,1967,12
family,1967,36
fantasy,1968,24
action,1968,224
crime,1968,378
drama,1968,524
Sci-Fi,1968,64
adventure,1968,182
comedy,1968,256
thriller,1968,168
musical,1968,16
western,1968,136
romance,1968,81
war,1968,150
horror,1968,100
sport,1968,8
history,1968,24
family,1968,36
fantasy,1969,15
action,1969,182
crime,1969,216
drama,1969,580
Sci-Fi,1969,64
adventure,1969,175
comedy,1969,244
thriller,1969,98
musical,1969,16
western,1969,152
romance,1969,96
war,1969,100
horror,1969,60
sport,1969,16
history,1969,12
family,1969,27
fantasy,1970,45
action,1970,217
crime,1970,198
drama,1970,620
Sci-Fi,1970,48
adventure,1970,140
comedy,1970,264
thriller,1970,91
musical,1970,12
western,1970,168
romance,1970,96
war,1970,140
horror,1970,150
sport,1970,8
history,1970,30
family,1970,21
fantasy,1971,12
action,1971,238
crime,1971,351
drama,1971,544
Sci-Fi,1971,72
adventure,1971,112
comedy,1971,236
thriller,1971,133
musical,1971,20
western,1971,176
romance,1971,54
war,1971,50
horror,1971,120
sport,1971,8
history,1971,30
family,1971,27
fantasy,1972,18
action,1972,280
crime,1972,423
drama,1972,520
Sci-Fi,1972,64
adventure,1972,105
comedy,1972,232
thriller,1972,203
musical,1972,20
western,1972,216
romance,1972,39
war,1972,10
horror,1972,280
sport,1972,12
history,1972,12
family,1972,33
fantasy,1973,24
action,1973,343
crime,1973,585
drama,1973,580
Sci-Fi,1973,88
adventure,1973,126
comedy,1973,220
thriller,1973,210
musical,1973,20
western,1973,136
romance,1973,51
war,1973,10
horror,1973,320
sport,1973,24
history,1973,12
family,1973,30
fantasy,1974,36
action,1974,336
crime,1974,531
drama,1974,464
Sci-Fi,1974,56
adventure,1974,175
comedy,1974,212
thriller,1974,245
musical,1974,24
western,1974,96
romance,1974,72
war,1974,10
horror,1974,210
sport,1974,4
history,1974,18
family,1974,48
fantasy,1975,9
action,1975,252
crime,1975,360
drama,1975,376
Sci-Fi,1975,72
adventure,1975,224
comedy,1975,224
thriller,1975,126
musical,1975,12
western,1975,96
romance,1975,42
war,1975,40
horror,1975,120
sport,1975,12
history,1975,42
family,1975,48
fantasy,1976,12
action,1976,287
crime,1976,396
drama,1976,440
Sci-Fi,1976,64
adventure,1976,147
comedy,1976,212
thriller,1976,175
musical,1976,4
western,1976,168
romance,1976,57
war,1976,10
horror,1976,190
sport,1976,16
history,1976,12
family,1976,60
fantasy,1977,30
action,1977,231
crime,1977,225
drama,1977,400
Sci-Fi,1977,96
adventure,1977,224
comedy,1977,256
