Genres,Grade,year_1999,year_war_grade,Year
children,1,5.0,5.0,2003
fantasy,3,8.0,24.0,2003
magical,3,5.0,15.0,2003
mystery,4,5.0,20.0,2003
action,7,30.0,210.0,2003
crime,8,31.0,248.0,2003
drama,7,52.0,364.0,2003
SF,5,5.0,25.0,2003
adventure,4,2.0,8.0,2003
biography,5,6.0,30.0,2003
comedy,4,66.0,264.0,2003
thriller,4,6.0,24.0,2003
musical,4,7.0,28.0,2003
western,8,3.0,24.0,2003
romance,2,11.0,22.0,2003
war,10,6.0,60.0,2003
horror,4,18.0,72.0,2003
sport,3,5.0,15.0,2003
political,6,5.0,30.0,2003
saga,3,5.0,15.0,2003
satire,2,5.0,10.0,2003
social,4,5.0,20.0,2003
animation,2,7.0,14.0,2003
