name,genre,year
Mondo Sexxxx: The Terry Kobrah Story,"['Comedy', 'Drama', 'Horror']",1980
09,['Drama'],1980
Sin pecado,"['Drama', 'Fantasy', 'Mystery']",1980
Paper Ketchup,"['Comedy', 'Musical', 'Romance']",1980
You Used to Be Beautiful,"['Comedy', 'Drama', 'Romance']",1980
116 Muscles,['Drama'],1980
The Wake of Dick Johnson,['Drama'],1980
Bob Mazooka: Fun Time Action Hour for Kids,['Comedy'],1980
Life in Parallel,"['Comedy', 'Drama']",1980
Wormtooth Nation,['Sci-Fi'],1980
The Pass Rusher,"['Drama', 'Romance', 'Sport']",1980
Running on Empty,"['Action', 'Thriller']",1980
Front Man,['Drama'],1980
My America,['Drama'],1980
Fillbilly,['Comedy'],1980
Only Human,"['Drama', 'Horror', 'Romance']",1980
Bongoland II: There Is No Place Like Home,['Drama'],1980
Jouir De La Vie,"['Drama', 'Romance']",1980
As Though Dead,['Horror'],1980
Kaptin Boom,['Comedy'],1980
Bubble Bubble Meows and the Meteor Stomachache,['Animation'],1980
The Two Roomer,['Thriller'],1980
Halloween Creep Tales,['Horror'],1980
Road to Kingsville,"['Drama', 'Thriller']",1980
The Bestest Christmas Ever,['Comedy'],1980
Arrgh! A Pirate Story,"['Comedy', 'Music']",1980
Just Another Noir,['Crime'],1980
Reflections on the USS Arizona Memorial,[],1980
"Cheer Up, Sam",['Drama'],1980
Couch Cases,['Comedy'],1980
We Grew Up Here,"['Drama', 'Music']",1980
Good Bye,['Thriller'],1980
Big Top Winkle,['Adventure'],1980
Rat Rod Rockers!,['Crime'],1980
Euthination,['Horror'],1980
Chickens in the Shadows,"['Comedy', 'Music']",1980
Drunk Dumb Fucks,['Comedy'],1980
Retribution of the Wolf,['Western'],1980
The Rockford Blondes,"['Biography', 'Comedy']",1980
The Last Hot Lick,"['Drama', 'Music']",1980
The Parchene Conspiracy,['Sci-Fi'],1980
Only Interstellar Pinball Lives Forever,"['Comedy', 'Drama', 'Fantasy']",1980
Fictionality,['Action'],1980
Senior Prom,['Comedy'],1980
Pwners,"['Comedy', 'Drama']",1980
A Carol of Christmas,['Comedy'],1980
Jerome's Razor,"['Adventure', 'Drama']",1980
The Chemical King,"['Comedy', 'Fantasy']",1980
Rifftrax: Order in the Shorts,['Comedy'],1980
"My Necklace, Myself",['Fantasy'],1980
To Fly,['Drama'],1980
Thirty Second Doom,"['Action', 'Adventure', 'Crime']",1980
Up North,"['Comedy', 'Horror']",1980
Legends of Mini-Golf: The Flamingo's Challenge,['Comedy'],1980
The Happy Widowers,['Comedy'],1980
Ku Klux Kornea,['Comedy'],1980
Hope for a Thorn,['Drama'],1980
Dreams of the Wayward,['Drama'],1980
Grappling with your Demons,['Drama'],1980
Incident at Barstow,['Thriller'],1980
The Mayor & King Switch Places,"['Comedy', 'Crime', 'Drama']",1980
All Suspects,"['Action', 'Crime', 'Drama']",1980
Icrush the Movie,['Comedy'],1980
Max Romer: Appalachian Justice,"['Action', 'Comedy']",1980
Abram's Hand,"['Crime', 'Horror', 'Thriller']",1980
Wright Street,"['Drama', 'Mystery']",1980
Outfitumentary,[],1980
Exit 117,['Drama'],1980
Bee Dead,"['Comedy', 'Horror']",1980
Fools,"['Action', 'Comedy', 'Horror']",1980
"Finally, Lillian and Dan",[],1980
The Doorway,['Horror'],1980
The Sister,['Horror'],1980
Spirit Gum,"['Animation', 'Comedy', 'Fantasy']",1980
The Temple II: Birth into Darkness,"['Action', 'Fantasy', 'Horror']",1980
Suburban Backlot,['Comedy'],1980
The Price of Loyalty,['Action'],1980
A Boys Night Out,['Drama'],1980
Finding St. Isabel,['Drama'],1980
The Light,"['Comedy', 'Horror', 'Sci-Fi']",1980
Social Distortion: Live in Orange County,['Music'],1980
Gans-Nelson Fight,['Sport'],1980
Gary Has No Pants,['Comedy'],1980
I Hate L.A.,"['Comedy', 'Horror', 'Mystery']",1980
The Golden Space City of God,['Musical'],1980
In 200 Characters or Less,"['Comedy', 'Romance']",1980
Consequence,['Drama'],1980
Lightning Salad Moving Picture,['Comedy'],1980
The Season,['Drama'],1980
When the Boys Walk In,['Drama'],1980
Your Roommate,"['Comedy', 'Romance']",1980
Bubble Bubble Meows and the Lame-O Baby Jib,"['Animation', 'Comedy', 'Family']",1980
The Sound of Victory,['Drama'],1980
Gav-n,['Action'],1980
The Abstract Heart,"['Drama', 'Horror', 'Romance']",1980
Here. My Explosion...,['Drama'],1980
Bhoner: The Movie,"['Comedy', 'Horror']",1980
Randomocity,"['Comedy', 'Drama']",1980
The Downfall of Mr. Difford,['Thriller'],1980
Don't Mess with the IRS,"['Action', 'Comedy']",1980
Bored,['Comedy'],1980
The Pine Overcoat,"['Drama', 'Thriller']",1980
Writer's Block,['Thriller'],1980
Monster of Party Beach,['Comedy'],1980
The Hardest Love,['Drama'],1980
Your Second Chance,['Thriller'],1980
Queenie: Priestess of the Ghetto,"['Action', 'Comedy', 'Drama']",1980
Somewhere We Lived,"['Comedy', 'Drama']",1980
Finding Home,['Drama'],1980
Heart Beats,['Romance'],1980
Off-Loop,"['Comedy', 'Drama']",1980
Forgotten in Still Frame,"['Action', 'Drama', 'Thriller']",1980
Novelties,['Drama'],1980
Freaks Nerds & Romantics,"['Comedy', 'Drama', 'Music']",1980
Melvyn's Clock,['Drama'],1980
Nocturnal After Hours,"['Action', 'Comedy', 'Drama']",1980
Four Tanks and a Healer,['Animation'],1980
Ring of Honor: Greatest Rivalries,['Action'],1980
Wolfy's Journey,"['Animation', 'Adventure', 'Fantasy']",1980
Cleaners,['Drama'],1980
Spidertron,"['Action', 'Comedy', 'Sci-Fi']",1980
"Witness to History: The Sights & Sounds of December 7th, 1941",[],1980
The Way of Snow,"['Drama', 'Fantasy']",1980
Sour Apple Freeze Pop,['Comedy'],1980
They Made That Up!,['Comedy'],1980
The Lower Circle,"['Fantasy', 'Horror', 'Sci-Fi']",1980
Broken,"['Comedy', 'Drama', 'Family']",1980
Starcliff,['Action'],1980
The Evangelist,"['Comedy', 'Drama']",1980
Fantastic Tales Of The Unknown: The Movie,['Horror'],1980
"Stripped, Bear",['Drama'],1980
Sheryl Crow: Live,[],1980
Hallows Eve: Slaughter on Second Street,['Horror'],1980
Nicky Newark,['Drama'],1980
Behind the Red Motel Door,['Crime'],1980
Luther's Magic Weed,['Comedy'],1980
Gary from Accounting,['Comedy'],1980
Young Citizen Patriots: Young Kid Ambassadors,['Family'],1980
Below the Border,"['Action', 'Adventure', 'Western']",1980
