name,year,genre
"The Carpenters: Music, Music, Music",(1980 TV Special),"<span class=""genre"">
Music            </span>"
The Raven,(1980),"<span class=""genre"">
Short, Thriller            </span>"
The Wolf Man,(1980),"<span class=""genre"">
Short, Horror            </span>"
Linda Ronstadt in Concert,(1980 TV Special),"<span class=""genre"">
Music            </span>"
The Mouseketeer Reunion,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
Cosmos,(1980),"<span class=""genre"">
Documentary            </span>"
Trailer,(1980),"<span class=""genre"">
Short, Comedy            </span>"
What Can a Guy Do?,(1980),"<span class=""genre"">
Short            </span>"
The Superliners: Twilight of an Era,(1980),"<span class=""genre"">
Documentary            </span>"
Deadly Force,(1980),"<span class=""genre"">
Documentary            </span>"
A Day with the Monster,(1980),"<span class=""genre"">
Short, Drama            </span>"
Olivia Newton-John: Hollywood Nights,(1980 TV Special),"<span class=""genre"">
Music            </span>"
Free to Choose,(1980– ),"<span class=""genre"">
Documentary            </span>"
Girl Under Glass: Part 1,(1979–1986),"<span class=""genre"">
Drama            </span>"
Lulu,(1977– ),"<span class=""genre"">
Music            </span>"
Old Yeller: Part 1,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
Harnessing the Sun,(1980),"<span class=""genre"">
Documentary, Drama            </span>"
The Lathe of Fury,(1980),"<span class=""genre"">
Short, Action, Drama            </span>"
Prometheus,(1977–1982),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Old Yeller: Part 2,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
Masterpiece Mystery,(1980– ),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Star Treatment,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
1980 MLB All-Star Game,(1980 TV Special),"<span class=""genre"">
Sport            </span>"
Lee Harvey Oswald,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
In Concert,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Filthy Pictures: Part 2,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Son of Flubber,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
A House Divided,(1978–1991),"<span class=""genre"">
Drama, Romance            </span>"
Lynda Carter Special,(1980 TV Special),"<span class=""genre"">
Music            </span>"
Star Wars: Episode V - The Empire Strikes Back: Deleted Scenes,(1980 Video),"<span class=""genre"">
Short, Action, Drama            </span>"
Pioneers,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
Moon Madness,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
The Diner,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
Filthy Pictures: Part 1,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Death Takes a Holiday,(1972–1983),"<span class=""genre"">
Comedy, Drama, War            </span>"
Prometheus: Part II,(1977–1982),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Vanished: Part 2,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Snow White Live,(1980 TV Movie),"<span class=""genre"">
Family            </span>"
Goldie and Liza Together,(1980 TV Special),"<span class=""genre"">
Comedy, Music            </span>"
The Body Human: Facts for Girls,(1980 TV Short),"<span class=""genre"">
Documentary, Short            </span>"
Star Wars: Episode V - The Empire Strikes Back,(1980),"<span class=""genre"">
Action, Adventure, Fantasy            </span>"
CBS Children's Mystery Theatre,(1980–1982),"<span class=""genre"">
Family, Mystery            </span>"
The Shock of the New,(1982– ),"<span class=""genre"">
Documentary            </span>"
Girl Under Glass: Part 2,(1979–1986),"<span class=""genre"">
Drama            </span>"
April Fools,(1972–1983),"<span class=""genre"">
Comedy, Drama, War            </span>"
The Psychic,(1977–1982),"<span class=""genre"">
Action, Adventure, Drama            </span>"
The New Girl: Part 2,(1979–1988),"<span class=""genre"">
Comedy, Family            </span>"
That Darn Cat!,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
